sp|P28615|RP54_CUPNH	-	round2_278	-	1.2e-191	631.8	0.0	1.4e-191	631.6	0.0	1.0	1	0	0	1	1	1
sp|P49988|RP54_PSEAE	-	round2_278	-	4.2e-184	606.9	4.7	4.7e-184	606.7	4.7	1.0	1	0	0	1	1	1
sp|P0A171|RP54_PSEPK	-	round2_278	-	7e-183	602.9	3.4	7.8e-183	602.7	3.4	1.0	1	0	0	1	1	1
sp|P0A172|RP54_PSEPU	-	round2_278	-	7e-183	602.9	3.4	7.8e-183	602.7	3.4	1.0	1	0	0	1	1	1
sp|P08623|RP54_AZOVI	-	round2_278	-	6.7e-181	596.3	1.2	7.5e-181	596.1	1.2	1.0	1	0	0	1	1	1
sp|Q03408|RP54_CAUCR	-	round2_278	-	1e-176	582.5	0.0	1.2e-176	582.3	0.0	1.0	1	0	0	1	1	1
sp|P33984|RP54_AZOC5	-	round2_278	-	3.6e-175	577.4	0.0	4.2e-175	577.2	0.0	1.0	1	0	0	1	1	1
sp|P30333|RP55_BRAJA	-	round2_278	-	6.6e-175	576.6	0.0	7.6e-175	576.3	0.0	1.0	1	0	0	1	1	1
sp|Q9S0L2|RP54_SHEVD	-	round2_278	-	1.6e-174	575.3	3.6	1.8e-174	575.1	3.6	1.0	1	0	0	1	1	1
sp|P22881|RP54_RHISN	-	round2_278	-	3.7e-174	574.1	0.1	4.3e-174	573.9	0.1	1.0	1	0	0	1	1	1
sp|P17263|RP54_RHIME	-	round2_278	-	4.8e-174	573.7	0.0	5.6e-174	573.5	0.0	1.0	1	0	0	1	1	1
sp|P33985|RP54_RHIML	-	round2_278	-	8.9e-174	572.8	0.0	1e-173	572.6	0.0	1.0	1	0	0	1	1	1
sp|O08429|RP54_VIBAN	-	round2_278	-	1.3e-169	559.1	6.0	1.5e-169	558.9	6.0	1.0	1	0	0	1	1	1
sp|P24255|RP54_ECOLI	-	round2_278	-	2.3e-169	558.2	15.9	2e-167	551.9	15.9	2.0	1	1	0	1	1	1
sp|P26979|RP54_SALTY	-	round2_278	-	3.4e-169	557.7	16.9	3.8e-152	501.5	1.1	2.0	1	1	1	2	2	2
sp|P06223|RP54_KLEOX	-	round2_278	-	7.2e-169	556.6	16.8	7.3e-167	550.0	16.8	2.0	1	1	0	1	1	1
sp|P30332|RP54_BRAJA	-	round2_278	-	8.3e-168	553.1	5.6	1.4e-150	496.3	0.2	2.0	1	1	1	2	2	2
sp|P49989|RP54_RHIET	-	round2_278	-	1.9e-163	538.7	0.0	2.2e-163	538.5	0.0	1.0	1	0	0	1	1	1
sp|P24695|RP54_THIFE	-	round2_278	-	4.1e-163	537.6	7.8	2.5e-147	485.6	0.2	2.0	1	1	1	2	2	2
sp|P33983|RP54_ACIGB	-	round2_278	-	3.4e-162	534.6	16.2	1.7e-146	482.9	3.8	2.0	1	1	1	2	2	2
sp|P77998|RP54_XANEU	-	round2_278	-	1.8e-150	495.9	0.0	6.7e-150	494.1	0.0	1.7	1	1	0	1	1	1
sp|P38944|RP54_CLOK5	-	round2_278	-	7.3e-129	424.7	15.5	1.9e-117	387.0	3.1	2.0	1	1	1	2	2	2
sp|P24219|RP54_BACSU	-	round2_278	-	9.8e-121	397.8	10.5	1.1e-115	381.2	2.2	2.0	1	1	1	2	2	2
sp|Q01194|RP54_RHOSH	-	round2_278	-	1.1e-114	377.9	1.4	2.9e-105	346.8	0.0	2.0	1	1	1	2	2	2
sp|D5ANH9|RP54_RHOCB	-	round2_278	-	8.5e-104	342.0	0.4	1.9e-97	321.0	0.0	2.0	1	1	1	2	2	2
sp|P0CY59|RP54_RHOCA	-	round2_278	-	5.1e-97	319.6	0.1	1.5e-90	298.2	0.0	2.1	1	1	1	2	2	2
sp|O83149|RP54_TREPA	-	round2_278	-	3.3e-71	234.5	3.0	2.8e-63	208.3	0.1	2.6	1	1	1	2	2	2
sp|P56143|RP54_HELPY	-	round2_278	-	3.6e-64	211.3	3.6	1.7e-63	209.1	0.2	2.2	1	1	1	2	2	2
sp|Q9ZLC8|RP54_HELPJ	-	round2_278	-	1.2e-63	209.6	4.2	4.6e-63	207.6	0.2	2.2	1	1	1	2	2	2
sp|A3Q5U0|SIGK_MYCSJ	-	round2_2759	-	4.2e-07	24.1	0.9	1.9e-05	18.8	0.2	2.5	2	1	0	2	2	2
sp|A1ULE1|SIGK_MYCSK	-	round2_2759	-	2.4e-06	21.7	0.8	0.00012	16.3	0.1	2.5	2	1	1	3	3	3
sp|Q1B3Q8|SIGK_MYCSS	-	round2_2759	-	2.4e-06	21.7	0.8	0.00012	16.3	0.1	2.5	2	1	1	3	3	3
sp|P18183|SIGA_STRCO	-	round2_3125	-	0	1081.4	19.3	0	1081.2	19.3	1.0	1	0	0	1	1	1
sp|P77951|SIGA_STRGR	-	round2_3125	-	0	1063.5	20.4	0	1063.4	20.4	1.0	1	0	0	1	1	1
sp|P0A602|SIGA_MYCTU	-	round2_3125	-	5.3e-189	623.2	7.2	5.3e-189	623.2	7.2	2.2	1	1	1	2	2	2
sp|P0A603|SIGA_MYCBO	-	round2_3125	-	5.3e-189	623.2	7.2	5.3e-189	623.2	7.2	2.2	1	1	1	2	2	2
sp|O66381|SIGA_BACHD	-	round2_3125	-	1.2e-140	463.6	5.3	1.3e-130	430.6	1.2	2.2	1	1	1	2	2	2
sp|Q99TT5|SIGA_STAAN	-	round2_3125	-	2.6e-138	455.9	4.6	4.8e-126	415.5	1.0	3.0	1	1	2	3	3	3
sp|Q5HNY7|SIGA_STAEQ	-	round2_3125	-	4.6e-138	455.1	4.9	7.2e-127	418.2	0.7	2.9	1	1	2	3	3	3
